-0.64043,-0.15477,0.04389,2.22124,2.2214,0.0
-0.64043,-0.15377,0.04389,2.22124,2.2214,0.0
-0.64043,-0.15277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.15177,0.04389,2.22124,2.2214,0.0
-0.64043,-0.15077,0.04389,2.22124,2.2214,0.0
-0.64043,-0.14977,0.04389,2.22124,2.2214,0.0
-0.64043,-0.14876999999999999,0.04389,2.22124,2.2214,0.0
-0.64043,-0.14777,0.04389,2.22124,2.2214,0.0
-0.64043,-0.14677,0.04389,2.22124,2.2214,0.0
-0.64043,-0.14577,0.04389,2.22124,2.2214,0.0
-0.64043,-0.14477,0.04389,2.22124,2.2214,0.0
-0.64043,-0.14377,0.04389,2.22124,2.2214,0.0
-0.64043,-0.14277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.14177,0.04389,2.22124,2.2214,0.0
-0.64043,-0.14077,0.04389,2.22124,2.2214,0.0
-0.64043,-0.13977,0.04389,2.22124,2.2214,0.0
-0.64043,-0.13877,0.04389,2.22124,2.2214,0.0
-0.64043,-0.13777,0.04389,2.22124,2.2214,0.0
-0.64043,-0.13677,0.04389,2.22124,2.2214,0.0
-0.64043,-0.13577,0.04389,2.22124,2.2214,0.0
-0.64043,-0.13477,0.04389,2.22124,2.2214,0.0
-0.64043,-0.13377,0.04389,2.22124,2.2214,0.0
-0.64043,-0.13277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.13177,0.04389,2.22124,2.2214,0.0
-0.64043,-0.13077,0.04389,2.22124,2.2214,0.0
-0.64043,-0.12977,0.04389,2.22124,2.2214,0.0
-0.64043,-0.12877,0.04389,2.22124,2.2214,0.0
-0.64043,-0.12777,0.04389,2.22124,2.2214,0.0
-0.64043,-0.12677,0.04389,2.22124,2.2214,0.0
-0.64043,-0.12577,0.04389,2.22124,2.2214,0.0
-0.64043,-0.12476999999999999,0.04389,2.22124,2.2214,0.0
-0.64043,-0.12376999999999999,0.04389,2.22124,2.2214,0.0
-0.64043,-0.12276999999999999,0.04389,2.22124,2.2214,0.0
-0.64043,-0.12176999999999999,0.04389,2.22124,2.2214,0.0
-0.64043,-0.12076999999999999,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11976999999999999,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11876999999999999,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11776999999999999,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11676999999999998,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11577,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11477,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11377,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
-0.64043,-0.11277,0.04389,2.22124,2.2214,0.0
